ts,open,high,low,close,volume
1769239200000,2955.77,2957.59,2954.07,2957.59,182.62579
1769239500000,2957.59,2958.26,2957.48,2957.56,45.24545
1769239800000,2957.56,2958.88,2957.55,2958.58,70.55829
1769240100000,2958.58,2958.58,2957.0,2957.32,79.61938
1769240400000,2957.32,2959.3,2957.15,2958.95,119.62521
1769240700000,2958.95,2960.38,2958.66,2959.55,132.466
1769241000000,2959.55,2959.59,2958.01,2959.42,120.93059
1769241300000,2959.42,2959.94,2956.82,2956.86,145.43943
1769241600000,2956.86,2958.63,2956.54,2957.29,108.81303
1769241900000,2957.29,2957.3,2954.91,2956.55,282.6936
1769242200000,2956.55,2958.43,2956.55,2958.33,36.75
1769242500000,2958.33,2959.16,2958.15,2958.49,38.74888
1769242800000,2958.49,2959.86,2958.26,2958.6,177.79914
1769243100000,2958.6,2959.16,2958.49,2958.55,61.63229
1769243400000,2958.55,2959.61,2958.46,2958.46,55.75262
1769243700000,2958.46,2959.62,2958.44,2959.45,49.61392
1769244000000,2959.45,2961.0,2959.23,2960.99,12.94893
1769244300000,2960.99,2961.49,2960.67,2961.48,26.19598
1769244600000,2961.48,2962.43,2961.4,2961.65,77.84272
1769244900000,2961.65,2963.37,2960.36,2963.0,131.58915
1769245200000,2963.0,2963.75,2962.07,2963.04,80.23741
1769245500000,2963.04,2963.12,2961.96,2962.29,41.70595
1769245800000,2962.29,2964.98,2962.11,2964.26,161.12058
1769246100000,2964.26,2964.46,2961.75,2962.41,41.30668
1769246400000,2962.41,2962.7,2961.17,2961.43,66.22978
1769246700000,2961.43,2961.79,2961.1,2961.33,49.52261
1769247000000,2961.33,2961.95,2960.98,2961.95,62.67669
1769247300000,2961.95,2961.95,2960.8,2961.31,68.6113
1769247600000,2961.31,2961.82,2960.07,2961.51,179.65968
1769247900000,2961.51,2961.51,2960.14,2960.97,73.90867
1769248200000,2960.97,2960.98,2960.27,2960.97,81.25466
1769248500000,2960.97,2960.98,2960.64,2960.94,24.29247
1769248800000,2960.94,2961.44,2960.94,2961.36,13.79863
1769249100000,2961.36,2962.1,2961.0,2961.72,70.05739
1769249400000,2961.72,2962.0,2959.72,2959.72,59.19223
1769249700000,2959.72,2960.04,2959.6,2960.01,35.30116
1769250000000,2960.01,2960.01,2958.79,2959.36,36.88217
1769250300000,2959.36,2960.94,2959.36,2959.48,29.74311
1769250600000,2959.48,2960.67,2958.84,2959.81,35.28828
1769250900000,2959.81,2961.41,2959.81,2960.23,35.03254
1769251200000,2960.23,2961.13,2959.2,2961.13,52.64646
1769251500000,2961.13,2961.45,2961.09,2961.27,26.97546
1769251800000,2961.27,2961.78,2961.08,2961.66,20.44582
1769252100000,2961.66,2962.53,2961.25,2961.84,58.89491
1769252400000,2961.84,2961.92,2961.69,2961.7,23.8797
1769252700000,2961.7,2961.74,2961.55,2961.68,18.98383
1769253000000,2961.68,2962.98,2961.68,2962.95,27.60911
1769253300000,2962.95,2964.16,2962.95,2963.28,93.22323
1769253600000,2963.28,2964.61,2963.28,2964.17,125.20951
